English,Hindi
These are connected by 42th act research .,इन्हे ४२ वे सन्विधान सन्शोधन द्वारा जोडा गया है ।
This activity is going up to 10 years similarly 8 % .,यह 10 वर्ष तक के लगभग 8 % लड़कों मे पायी जाती है ।
"On this day , a variety of sweets are prepared in the house from morning only .",इस दिन घरों में सुबह से ही तरह - तरह के पकवान बनाए जाते हैं ।
here muslims got introduced with two other people,यहाँ मुसलमानों का दो नए प्रकार के लोगों से परिचय ‎हुआ ।
"Collection of memories , Rekhchitra and stories : Himalay ( 1963 ) ,",संस्मरण रेखाचित्र और निबंधों का संग्रह : हिमालय ( १९६३ )
Today 's popular Hindi poet : Sumitranandan Pant ( 1960 ),आज के लोकप्रिय हिन्दी कवि : सुमित्रानंदन पंत ( 1960 )
control of legislation on the center of the state,राज्यों पर केन्द्र का विधान संबंधी नियंत्रण
Netaji renamed these Islands as 'Shaheed ' and 'Swaraj Dwip ' .,नेताजी ने इन द्वीपों का शहीद और स्वराज द्वीप ऐसा नामकरण किया ।
it was also printed in English and in Urdu by Hassan Manjar .,इसका अँग्रेज़ी व हसन मंज़र का किया हुआ उर्दू अनुवाद भी प्रकाशित हुआ ।
96.The best time for visiting Bikaner is between the months of October to March .,96 . भ्रमण करने के श्रेष्ठ महीने अक्टूबर से मार्च शहर के भ्रमण का श्रेष्ठ समय है ।
its ' Hindi version is also available .,इसका इण्टरफेस हिन्दी में भी उपलब्ध है ।
On this there are carvings of a lotus shape and a crown .,इन पर वही कमलाकार आकृति एवं किरीट कलश भी हैं ।
"in farer park of Singapore , Rasbihari bose has handed over his role to Subhashbabu",सिंगापुर के फरेर पार्क में रासबिहारी बोस ने भारतीय स्वतंत्रता परिषद का नेतृत्व सुभाषबाबू को सौंप दिया ।
But all of his sons were killed fighting with each other .,परन्तु उसके सभी पुत्र आपस में युद्ध करके मारे गये ।
"Only 29 km north-west of Kathmandu , kakani is a beautiful vacation spot..",काठमांडु शहर से 29 किमी . उत्तर - पश्चिम में छुट्टियां बिताने की खूबसूरत जगह ककानी स्थित है ।
The poetry gems chosen form Hindi/Urdu and Sanskrit languages .,हिन्दी / उर्दु और संस्कृत भाषाओं से चुने हुये काव्य मोती
"In 1980 , his novel was made very popular TV series Nirmala",१९८० में उनके उपन्यास पर बना टीवी धारावाहिक निर्मला भी बहुत लोकप्रिय हुआ था ।
class : West Bengal 's rivers,श्रेणी : पश्चिम बंगाल की नदियाँ
Prof. A . Acchyutan ( Taptilok ),प्रो . ए . अच्युतन ( ताप्तीलोक )
This was written by him in a letter he worte to his brother Kultar on 3 March .,फ़ासी के पहले ३ मार्च को अपने भाई कुलतार को लिखे पत्र में भगत सिह ने लिखा था -
International Convention on Quality of Urban Air,शहरी वायु गुणवत्ता पर अंतर्राष्ट्रीय सम्मेलन
As Ghadhari entered she did not allow this to happen .,परन्तु गांधारी ने आकर ऐसा होने से रोक दिया ।
She was the worlds first test tube baby .,यह विश्व के प्रथम टेस्ट - टयूब बेबी थे ।
"He wrote a letter to his brother Kultar on 3rd Mar , before his hanging .",फ़ासी के पहले ३ मार्च को अपने भाई कुलतार को लिखे पत्र में भगत सिह ने लिखा था -
"Per country green house gas emission , in which land-use change is included .",प्रति देश ग्रीनहाउस गैस उत्सर्जन जिसमें भूमि का उपयोग परिवर्तन है .
India 's capital is New Delhi .,भारत की राजधानी नई दिल्ली है ।
as the age of Akbar began to raise his love towards other religion also began to increase .,जैसे - जैसे अकबर की आयु बदती गई वैसे - वैसे उसकी धर्म के प्रति रुचि बढ़ने लगी ।
supreme court also has strict-ed them from some actions,इसके चलते सुप्रीम कोर्ट ने खुद कुछ बन्धन इनके प्रयोग पे लगाये है
He played his first first class cricket for Mumbai at the age of fourteen .,उन्होंने अपना पहला प्रथम श्रेणी क्रिकेट मैच मुंबई के लिये १४ वर्ष की उम्र मे खेला ।
sufi siants and bhakti followers played an important part in this,सूफी संतों और भक्ती आंदोलन ने इस मनमुटाव को दूर करने में बहुत अहम भूमिका निभाई ।
Ram reaches near to Trishyamuk Mountain,राम ऋष्यमूक पर्वत के निकट आ गये ।
Today BJP and their supporter play important role in opposite party .,आज बीजेपी और उसके सहयोगी विपक्ष में मुख्य भूमिका निभाते हैं ।
Major Islamic Cults and their distribution across the globe,विश्व में इस्लाम के प्रमुख पन्थ और उनका वितरण ।
Moderates like Professor Hazari Prasad Diwedi held her poetry as top class .,आचार्य हज़ारी प्रसाद द्विवेदी जैसे समीक्षक उनके काव्य को समष्टि परक मानते हैं ।
simenky was the old version of mozila firefox,सीमंकी ( पूर्व में मोजिल्ला ) पर मोजिल्ला फायरफाक्स वेब - ब्राउजर आधारित है ।
they are joint the gumbad edge .,यह गुम्बद के किनारों को शिखर पर सम्मिलन देता है ।
There is also facility to download entire Mahabharat .,सम्पूर्ण महाभारत डाउनलोड करने की सुविधा भी है ।
1898 he passed the metric exam and after he get appointed in local school as teacher .,१८९८ में मैट्रिक की परीक्षा उत्तीर्ण करने के बाद वे एक स्थानीय विद्यालय में शिक्षक नियुक्त हो गए ।
Her words reflected the words of the indian people .,उनके संस्मरण भारतीय जीवन के संस्मरण चित्र हैं ।
"Whatever maybe the thought process , the colorful gods are an integral part of Hindu culture .",जो भी सोच हो ये देवता रंग - बिरंगी हिन्दू संस्कृति के अभिन्न अंग हैं ।
What is Saddhmam according to Buddha,बुद्ध के अनुसार सद्धम्म क्या है - -
the vapour content is sufficient in the land part,इस भूभाग की जलवायु उष्ण और संतृप्त ( आर्द्र ) है ।
"Akbar 's court had many Hindu courtiers , military officers and feudal lords .",अकबर के दरबार में अनेक हिन्दू दरबारी सैन्य अधिकारी व सामंत थे ।
He was the Chief General of Akbar 's army .,वह अकबर की सेना के प्रधान सेनापति थे ।
It is believed that all 33 crores deities live in a cow .,यह माना जाता है कि गाय में सम्पूर्ण ३३ करोड देवि देवता वास करते हैं ।
His followers consider Swami Bagh as a holy place .,उनकी समाधि उनके अनुयाइयों के लिये पवित्र है ।
An eave of a decorated throne was made in the dead center of eastern wall of palace .,एक अलंकृत सिंहासन का छज्जा दीवान की पूर्वी दीवार के बीचों बीच बना था ।
He placed Ram 's footwear on the throne and he himself began to stay on Nandigram .,उन्होंने राम की पादुका को राज सिंहासन पर विराजित कर दिया स्वयं नन्दिग्राम में निवास करने लगे ।
First editions has Three Places in other languages,पहले भाग ( संहिता ) के अलावा हरेक में टीका अथवा भाष्य के तीन स्तर होते हैं ।
it is too easy when it come for remebering,आसान यह तब है जब इसे ‎याद करने ( तज़क्कुर ) के लिए पढ़ा जाए ।
His term period is normally 5 years if the majority is maintained .,बहुमत बने रहने की स्थिति में इसका कार्यकाल ५ वर्षों का होता है ।
About any topic on his every word written in,किसी भी विषय के बारे मे उसकी हर बात के बारे मे लिखा जाता है ।
Cuisines of Dravidian region are called South Indian food .,दक्षिण भारतीय खाना भारत के द्रविड़ राज्यों के खाने को कहा जाता है ।
"To show the reality : See , war",वास्तविकता दिखाने हैं : देखो लड़ाई
The solar lantern is a light portable photo-voltaic technology .,सौर लालटेन एक हल्का ढोया जा सकने वाली फोटो वोल्टायिक तंत्र है ।
"For this reason he went to Punjab to fight the most powerful Suri ruler , Sikander Shah Suri .",इसलिए वह सूरी वंश के सबसे शक्तिशाली शासक सिकंदर शाह सूरी पर आक्रमण करने पंजाब चल पड़ा ।
The number stanzas in Skandha Puran is eighty one thousand .,स्कन्धपुराण में श्लोकों की संख्या इक्यासी हजार एक सौ हैं ।
"After the defeat of Parthians , it was free of Persian influence .",पार्थियनों के पतन के बाद यह फारसी प्रभाव से मुक्त हुआ ।
"From the city side it was covered with another security wall , outside it there was a pit .",शहर की ओर से इसे एक दोहरी सुरक्षा दीवार घेरे है जिसके बाहर गहरी खाई बनी है ।
sweet essay : aksanda ( 1986 ),ललित निबंध : क्षणदा ( १९५६ )
This Hikamato loaded again recall that the direct route,‎यही हिकमतों से भरी हुई पुन : स्मरण ( याददेहानी ) है यही सीधा मार्ग ‎है ।
"In every February , the Durbey Horse race takes place in Mumbai .",प्रत्येक फरवरी में मुंबई में डर्बी रेस घुड़दौड़ होती है ।
"Arjun : Through Godking Indra , Kunti and Pandu 's son .",अर्जुन : देवराज इन्द्र द्वारा कुन्ती एवं पान्डु का पुत्र ।
people also is very focused on this issue,जनता भी इस विषय में जागृत हुई है ।
At present in india there are 27 States and 7 Central ruled states .,वर्तमान में भारत २८ राज्यों ७ केन्द्रशासित प्रदेशों मे बँटा हुआ है ।
`` `` Big study '' '' Big study==Brahma Sutra==,मोटा पाठमोटा पाठ = = वाह्य सूत्र = =
"As the ice melts , the open waters and land take its place .",जैसे जैसे बर्फ पिघलती है वैसे वैसे भूमि अथवा खुला जल उसका स्‍थ्‍स्थान ले लेता है ।
According to folklore he had a son Kamal and a daughter Kamali .,जनश्रुति के अनुसार उन्हें एक पुत्र कमाल तथा पुत्री कमाली थी ।
Each team consists of 11 players .,हर टीम में ग्यारह खिलाड़ी होते हैं ।
Idra was very happy seeing the strong Arjun .,इन्द्र अपने पुत्र अर्जुन की वीरता देखकर अतिप्रसन्न हुए ।
At that time the police lathi-charged him and wounded him .,तब पुलिस ने उनपर लाठी चलायी और उन्हे घायल कर दिया ।
He was praised as an best example for a spontaneous poet by Shachiraani gurttu .,शचीरानी गुर्टू ने भी उनकी कविता को सुसज्जित भाषा का अनुपम उदाहरण माना है ।
first part ( sanhita ) except this every part has teeka and language with the three parts,पहले भाग ( संहिता ) के अलावा हरेक में टीका अथवा भाष्य के तीन स्तर होते हैं ।
Importance of maython in human life .,मैथुन मनुष्य की मूल आवश्यकता है ।
Lose organization of two or more organizer . ( country group ),दो या अधिक संघटको का ढीला संघठन [ रास्त्र मन्डल ]
some of these common schools get subsidy from government .,इनमें से कुछ निजी विद्यालयों को सरकारी सहायता भी प्राप्त होती है ।
Parashuram : Meaning Arthat Parush 's Ram|,परशुराम : अर्थात् परशु वाले राम ।
"this state has an area of 2,38,566 km square and it 's main High Court is in Allahbad .",यह राज्य २३८५६६ वर्ग किलोमीटर के क्षेत्रफल मे फैला हुआ है यहाँ का मुख्य न्यायालय इलाहाबाद मे है ।
Internet is huge worldwide network which can bind one another by computer .,अंतरजाल एक दूसरे से जुड़े संगणकों का एक विशाल विश्व - व्यापी नेटवर्क या जाल है ।
shalya : Nakul and sahadev 's mother Mardri 's brother,शल्य : नकुल और सहदेव की माता माद्री के भाई ।
Its architecture and beauty mezmerizes the tourists,इसका वास्तुशिल्प और सुंदरता पर्यटकों को मंत्रमुग्ध कर देती है ।
Gowthama buddha is an peculiar personality in the world .,गौतम बुद्ध बौद्ध धर्म के प्रवर्तक थे ।
Confirmed - Poetry Philosophical background ( Ghansham Prasad Sanadaya ( Taptilok ) ),पुष्टि - काव्य की दार्शनिक पृष्ठभूमि ( घनश्याम प्रसाद सनाढय ( ताप्तीलोक ) )
Rambihari bose transfer the leadership of Indian independence assembly to subash babu in the farer park of Singapore .,सिंगापुर के फरेर पार्क में रासबिहारी बोस ने भारतीय स्वतंत्रता परिषद का नेतृत्व सुभाषबाबू को सौंप दिया ।
To Described in Hindi literature has described the Prkaratrc Chayadi Kavio !,छायावादी कवियों का प्रकृति वर्णन हिन्दी साहित्य में उल्लेखनीय है ।
"Karmayogi kalaam ( google text writer - Laxam prasad , sandalya . )",कर्मयोगी कलाम ( गूगल पुस्तक ; लेखक - लक्षम प्रसाद सांडिल्य )
Tendulkar in his one-day career scored highest runs against Australia,तेंदुलकर ने अपने एक दिवसीय करियर में सर्वाधिक रन आस्ट्रेलिया के खिलाफ बनाए हैं ।
Bombay people always accept him like a actor .,मुंबई के लोगों ने हमेशा उन्हें एक कलाकार के रूप में स्वीकार किया है ।
This was completed in 1908 .,यह 1908 में पूर्ण हुई ।
after the death of her father in 1988 she started living in illahabad,१९६६ में पति की मृत्यु के बाद वे स्थाई रूप से इलाहाबाद में रहने लगीं ।
"Akbar had also eyes on the queen of Gondwana , Durgawatee .",गोंडवाना की रानी दुर्गावती पर भी अकबर की कुदृष्टि थी ।
Return of Producer and Actor 1996 - 1999,निर्माता और अभिनय की वापसी १९९६ - १९९९
"His Ram not captured in any boundary of community , caste , country .",उनके राम किसी सम्‍प्रदाय जाति या देश की सीमाओं में कैद नहीं है ।
After some argument boat-driver left them across Ganga river .,कुछ आनाकानी करने के बाद केवट ने तीनों को गंगा नदी के पार उतारा ।
He made a substantial contribution towards the growth of Allahabad women university ( Vidyapeeth ) at Prayag .,उन्होंने इलाहाबाद में प्रयाग महिला विद्यापीठ के विकास में महत्वपूर्ण योगदान किया ।
Schedule 257 - In some matters center has the authority over state .,अनु 257 - - - - - कुछ मामलों मे राज्य पर केन्द्र नियंत्रण की बात करता है ।
Hanuman could not identify the medicine and he lifted the whole mountain during his return .,औषधि की पहचान न होने के कारण हनुमान पूरे पर्वत को ही उठा कर वापस चले ।
Again the tremendous war started between both the groups .,फिर से दोनों पक्षो में बड़ा भयंकर युद्ध हुआ ।
On second day of Deepavali businessmen change their previous years books of account .,दीपावली के दूसरे दिन व्यापारी अपने पुराने बहीखाते बदल देते हैं ।
These messengers were from human only and they direct humans towards god .,यह दूत भी मनुष्य जाति में से होते थे और ईश्वर की ओर लोगों को बुलाते थे ।
after this pakistan 's area was being influenced by islam,इसके बाद पाकिस्तान का क्षेत्र इस्लाम से प्रभावित होता चला गया ।
"After the downfall of Parthins , it becomes free from Persian influence .",पार्थियनों के पतन के बाद यह फारसी प्रभाव से मुक्त हुआ ।
For years it is protecting India from foreign aggressions .,वर्षों से यह विदेशी आक्रमणों से भारत की रक्षा करता आ रहा है ।
"The father of Surdas was Ramdas , he was a singer",सूरदास के पिता रामदास गायक थे ।
He was accepted to the legitimate,उसको भी वैध स्वींकार कर लिया गया ।
Most of the word forms are made by putting suffixes to the original world .,अधिकांश शब्द - रूप मूलशब्द के अन्त में प्रत्यय लगाकर बनाये जाते हैं ।
Scholars ' thoughts on the subject of India,भारत के विषय में विद्वानों के विचार
"Some Purans state the entire era of the earths emergence till its end , in vivid detail .",कुछ पुराणों में सृष्टि के आरम्भ से अन्त तक का विवरण किया गया है ।
After English translation their full intelligence spreaded all over the country .,अँग्रेज़ी अनुवाद के बाद उनकी प्रतिभा पूरे विश्व में फैली ।
after failing in this he tried to enter in to the German and Italian group .,इस में नाकामयाब रहने पर उन्होने जर्मन और इटालियन दूतावासों में प्रवेश पाने की कोशिश की ।
In 1585 for a smooth rule of north western country side Akber built his capital in Lahore .,सन १५८५ में उत्तर पश्चिमी राज्य के सुचारू राज पालन के लिए अकबर ने लाहौर को राजधानी बनाया ।
"He married in 1992. and has two daughters , 9 years old Malia and six years old Sasha",उनका विवाह १९९२ में हुआ जिससे उनकी दो पुत्रियाँ हैं ९ वर्षीय मालिया तथा ६ वर्षीय साशा ।
Among all the other brothers of him subhas is having a verymuch attachment towards his brother saratchandra .,अपने सभी भाइयों में से सुभाष को सबसे अधिक लगाव शरदचंद्र से था ।
Amitabh Bachchan is a famous actor .,अमिताभ बच्चन एक प्रसिद्ध अभिनेता हैं ।
Voice of Monkey island ( 1968 ),मरकट द्वीप का स्वर ( 1968 )
After sometime he came back to Honolulu and slayed in maternal grand parents house .,बाद में वे होनोलूलू वापस आकर अपनी ननिहाल में ही रहने लगे ।
But Amitabh refuse to say anything about this matter .,इसके आवजूद अमिताभ ने इस मुद्दे पर कुछ भी कहने से इंकार कर दिया ।
Terror Economic blog - Multi specialist website for tackle the terrorism economic point .,आतंक वित्त ब्लॉग - बहु विशेषज्ञ वेबसाइट आतंकवाद के वित्तपोषण के मुद्दों से निपटने .
Most of his compositions are already included in his songs,उनकी अधिकतर रचनाएं तो अब उनके गीतों में शामिल हो चुकी हैं ।
He has brought many provinces in southern and eastern Europe and North Africa under his control .,उसने दक्षिणी और पूर्वी यूरोप के कई प्रदेशों को और उत्तरी अफ्रीका को अपना अधीन कर लिया ।
"after the winning of Jang bahadur , Rana family has started rana rules and surukiya",जंगबहादुर की जीत के बाद राणा खानदान उन्होने सुरुकिया व राणा शासन लागु किया ।
3 members of Ministry will go as a parliament members .,3 मंत्रिपरिषद के सद्स्य संसद के सद्स्यों से लिए जायेंगे
"In 1853 , the first passenger railway line of India which connected Bombay with Thane , was established",सन १८५३ में भारत की प्रथम यात्री रेलवे लाइन स्थापित हुई जिसने मुंबई को ठाणे से जोड़ा ।
There is pot on the coronet of main dome ( see right ) .,मुख्य गुम्बद के किरीट पर कलश है ( देखें दायें ) ।
In the main categories these parts are given separate importance : -,मुख्य रूप से इन भागों को अलग से महत्व दिया जाता है : -
"The present fort was constructed by Shahjahan , the grandson of Akbar .",वर्तमान किला अकबर के पौत्र शाहजहां द्वारा बनवाया हुआ है ।
Birla Foundation had honored him with Saraswati honor for his Autobiography .,बिड़ला फाउन्डेशन ने उनकी आत्मकथा के लिये उन्हें सरस्वती सम्मान दिया था ।
What is A dhamma ( Immoral ) is per Budhha .,बुद्ध के अनुसार क्या अ - धम्म है - -
Three major part of the Constitution,संविधान के तीन प्रमुख भाग हैं ।
"Pufffs surrounding Taj are also made in all four corners , parallel to the hypotenuse line .",ताज के चट्टा लगे पिश्ताक चारों कोनों में भी कर्णरेखा के समानांतर फलकों पर बने हैं ।
2 . The new speaker also becomes the Chairperson of the election process .,2 . नवीन स्पीकर चुनाव प्रक्रिया का अध्यक्ष भी वही बनता है
From Gomoha railway station he took Frontier mail and reached Peshawar|,गोमोह रेल्वे स्टेशन से फ्रंटियर मेल पकडकर वे पेशावर पहुँचे ।
Also it goes to the parts of New Mumbai and Thane .,साथ ही नवी मुंबई एवं ठाणे के भी भाग तक जातीं हैं ।
Subashbabu then went for treatment Adalhaji,फिर सुभाषबाबू इलाज के लिए डलहौजी चले गए ।
From the year 1947 to 1972 Pakistan remained divided into two parts - East Pakistan and West Pakistan .,सन् 1947 से 1972 तक पाकिस्तान दो भागों में बंटा रहा - पूर्वी पाकिस्तान और पश्चिमी पाकिस्तान ।
Regarding this issue Bacchan was not found guilty .,इस मामले में बच्चन को दोषी नहीं पाया गया ।
"Aquarius water is as same , this says is contable",फूटा कुम्‍भ जल जलहीं समाना यह तथ कथौ गियानी ।
"Then he did meditation , but still was not able to find answers to his questions .",फ़िर उन्होने तपस्या की परंतु उन्हे अपने प्रश्नों के उत्तर फ़िर भी नहीं मिले ।
Appointment of supreme court judge .,सर्वोच्च न्यायालय के न्यायधीशों की नियुक्ति
13 . Hindu vision promotes unity and co-ordination .,13 . हिन्दू दृष्टि समतावादी एवं समन्वयवादी
Bro can I get your mobile number,भाई क्या मुझे आपका मोबाइल नंबर मिल सकता है
There are various stories behind the habit of lighting wooden lamps .,दीप जलाने की प्रथा के पीछे अलग - अलग कारण या कहानियाँ हैं ।
Sha is she in modern Hindi .,आधुनिक हिन्दी में ष का उच्चारण पूरी तरह श की तरह होता है ।
puran is the extension of vedas,पुराण वस्तुतः वेदों का विस्तार हैं ।
Special session- this is of two types 1 . Special session of Parliament .,विशेष सत्र – इस के दो भेद है 1 . संसद के विशेष सत्र .
Income Expenditure is described in a Budget .,3 . बजट मे पिछले वर्ष के वास्तविक आय व्यय का विवरण होता है
Its height too has been taken into consideration .,ऊँचाई का ध्यान रखा गया है ।
To Emanates the aims of the constitution usually a preamble is put forward .,संविधान के उद्देश्यों को प्रकट करने हेतु प्राय : उनसे पहले एक प्रस्तावना प्रस्तुत की जाती है ।
The vehicles producing pollution are restricted in the surrounding of this monument .,इस स्मारक के आसपास प्रदूषण फैलाते वाहन प्रतिबन्धित हैं ।
RAM is as for them is not their Rsarathy Ram Ram is the name of spiritual symbols,उनके लिए राम रूप नहीं है दशरथी राम नहीं है उनके राम तो नाम साधना के प्रतीक हैं ।
The art deco style construction can be seen on the edges of Marin drive and Oval garden .,आर्ट डेको शैली के निर्माण मैरीन ड्राइव और ओवल मैदान के किनारे दिखाई देते हैं ।
pandit jawaharlal nehru was the president of it .,पंडित जवाहरलाल नेहरू इस के अध्यक्ष थे ।
"If there is any heaven on earth , then its here , here and here !",यदि पृथ्वी पर कहीं जन्नत है तो वो यहीं है यहीं है यहीं है ।
According National Geographic - Presentation of shochkave,नेशनल ज्योग्राफिक ( National Geographic ) द्वारा – शोच्क्वावे प्रस्तुति
This was constructed by Akbar in the Year 1565 .,यह अकबर द्वारा 1565 में बनवाया गया था ।
utter pradesh is very popular city .,उत्तर प्रदेश के प्राचीनतम नगर ( गूगल पुस्तक ; डॉ अशोक कुमार सिंह )
"Therefore , show of dignity not found in this .",इसीलिए इसमें मर्यादा का चित्रण नहीं मिलता ।
Made to the general public was larger premises,यह जनसाधारण हेतु बना वृहत प्रांगण था ।
Ved-Puraan : all the four vedas and more than ten puranas are available here .,वेद - पुराण - यहाँ चारों वेद एवं दस से अधिक पुराण हिन्दी अर्थ सहित उपलब्ध हैं ।
This gate decorated by costly stones has very importance in religion and historical vision .,बेशकीमती पत्थरों से सजे इस दरवाजे का धार्मिक और ऐतिहासिक दृष्टि से बहुत महत्व है ।
"After 1817 , city was reconstructed by civil work on large scale .",सन १८१७ के बाद नगर को वृहत पैमाने पर सिविल कार्यों द्वारा पुनर्ओद्धार किया गया ।
"shabdakosh.com , English < -- > Hindi ( Online )",शब्दकोश . कॉम अंग्रेजी - - हिन्दी ( ऑनलाइन )
both the times the result came bose was killed in that plane crash .,दोनो बार यह नतिजा निकला की नेताजी उस विमान दुर्घटना में ही मारे गये थे ।
According to the Musalman Kuran is the last book given by Eshwar to the mankind .,मुसलमनों के अनुसार कुरान ईश्वर द्वारा मनुष्य को प्रदान की गयी अन्तिम धार्मिक पुस्तक है ।
These tombs make us see the entire construction of Tajmahal .,यह मीनारें ताजमहल की बनावट की सममितीय प्रवृत्ति दर्शित करतीं हैं ।
This section of Muslims became known as the Shiya sect .,यह वर्ग शिया वर्ग के नाम से प्रसिद्ध हुआ ।
after this day he could not bee seen by anyone .,इस दिन के बाद वे कभी किसी को दिखाई नहीं दिये ।
"After taking 'Sanyaas ' , he was renamed Vivekananda .",संन्यास लेने के बाद इनका नाम विवेकानंद हुआ ।
Hand massage : in this position men can caress women 's attractive body parts .,उन्नयन हाथः इस पोजीशन मेंपुरुष अपने हाथों से महिला के उत्तेजक अंगों को सहला सकता है .
They can be used online or offline by downloading them,इन्हें ऑनलाइन उपयोग कर सकते हैं या डाउनलोड करके ऑफलाइन उपयोग भी कर सकते हैं ।
"His speaches wrer filled with equality towards people , search for truth .",उनके भाषण जन सामान्य के प्रति संवेदना और सच्चाई के प्रति दृढ़ता से परिपूर्ण होते थे ।
Program to convert Roman output to Devanagari through Sanskrit OCR .,संस्कृत _ ओसीआर से प्राप्त रोमन आउटपुट को देवनागरी में बदलने का प्रोग्राम
98 . Mount Abu was a favorite summer retreat during the British rule .,98 . ब्रिटिश शासन के दौरान माउण्ट आबू अंग्रेजों का मनपसंद ग्रीष्मकालीन गन्तव्य बन गया ।
Audio Mahabharata ; Part-1 ( Google book ),ओड़िया महाभारत ; भाग - १ ( गूगल पुस्तक )
According to the grace of Lord Krishna Sur Ssduti man can get,1 . सूर के अनुसार भगवान श्रीकृष्ण के अनुग्रह से मनुष्य को सद्गति मिल सकती है ।
makki started with small faces .,आरंभ में मक्के में छोटी - छोटी सूरतें अवतीर्ण हुईं ।
"Near Mumbai university , Rajabhai gantaghar is situated",राजाबाई घंटाघर मुंबई विश्वविद्यालय के निकट
THE WORLDS GREATEST SOCIETY WAS ESTABLISHED ( ROMANS AND IRANIAN ),विश्व की दो महान शक्तियों ‎‎ ( रोमन तथा ईरानी साम्राज्य ) के समक्ष खड़ा कर दिया ।
6 . God take repeated births for the defense of religion .,6 . धर्म की रक्षा के लिए ईश्वर बार - बार पैदा होते हैं
Moghul emperor Akbar built Fatehpur Sikhri and made it his capital city .,मुगल सम्राट अकबर ने फतेहपुर सीकरी बसाई व अपनी राजधानी वहां स्थानांतरित की ।
"Among the devotees of Lord Krishna , Soordas is believed tobe the most respectable one .",कृष्ण भक्ति की अजस्र ढ़ारा को प्रवाहित करने वाले भक्त कवियों में सूरदास का नाम सर्वोपरि है ।
"This was the reason , the way of integration of Rajasthan developed the first union .",इसी की वजह से राजस्थान के एकीकरण की दिशा में पहला संघ बन पाया ।
Therefore to test them Dhrupad had called them to theirjewelry room .,अतः उनकी परीक्षा करने के लिये द्रुपद ने उन्हें अपने राजप्रासाद में बुलाया ।
* [ URL tool or name of server ],* [ यूआऍल टूल अथवा सेवा का नाम ]
It has 395 articles and 12 chapters .,इसमें 395 अनुच्छेद तथा 12 अनुसूचियां हैं ।
"During Hajj , Muslims take rounds around the Kaba .",हज के दौरान मुसलमान काबा का चक्कर लगाते हुए
This could be web based or desktop application .,ये जाल या डेस्कटॉप आधारित अनुप्रयोग हो सकते हैं ।
e-mahashabdakosh ( Large e-dictionary ) c-dec By Indian government,इ - महाशब्दकोश - सी - डैक भारत सरकार की प्रस्तुत
4 scientific difficulties which means kingdoms will participate both in certificate and doubts,4 सविन्धान की कठोरता इसका अर्थ है सविन्धान संशोधन मे राज्य केन्द्र दोनो भाग लेंगे
The city was surrendered by Mughal chieftains to their Sikh counterparts .,नगर को मुगल वजी़रों ने अपने सिख साथियों को समर्पण कर दिया ।
Till now of around 600000 personalized photo-voltages system ( total capacity 40 megavolt ) has been installed .,अबतक लगभग ६००००० व्यक्तिगत फोटोवोल्टायिक प्रणालियां ( कुल क्षमता ४० मेगावाट ) संस्थापित की जा चुकी हैं ।
"To remove rain water from here , canals were built which were complete .",यहां बरसात के पानी की निकासी की अच्छी नालियां - नालों से परिपूर्ण वयवस्था बनायी गई ।
"There was a great foudation of guru bhakti , guru service and the grace towards guru .",उनके इस महान व्यक्तित्व की नींव में थी ऐसी गुरुभक्ति गुरुसेवा और गुरु के प्रति अनन्य निष्ठा ।
Assigned to the Religion is to get the Importance Intelligence,जो धम्म यह बताए कि आवश्यकता प्रज्ञा प्राप्त करने की है
Pillars were brought by twenty to thirty bulls which were attached to specially built carts .,बीस से तीस बैलों को खास निर्मित गाडि़यों में जोतकर शिलाखण्डों को यहाँ लाया गया था ।
"Hanuman , son of Ravana by destruction of the Ashokvatika slaughter made of renewable",हनुमान ने अशोकवाटिका का विध्वंस करके रावण के पुत्र अक्षय कुमार का वध कर दिया ।
Google English dictionary - Hindi ( online ),गूगल शब्दकोश अंग्रेजी - - हिन्दी ( ऑनलाइन )
it seems that it was built near 6th century .,मूल रूप से इस मंदिर का निर्माण चौथी शताब्दी के आस - पास हुआ था ।
entire country remembered his martyrdom .,सारे देश ने उनकी शहादत को याद किया ।
"After thirteen years of fleeing from Mecca , in Medina the Muslims found a Center .",मक्की दौर के तेरह वर्ष बाद मदीने में मुसलमानों को एक केन्द्र प्राप्त ‎हो गया ।
In Persian mysticism Mughal carpet Islamic texts Firdoss is told to be an ideal and perfect garden .,फारसी रहस्यवाद में मुगल कालीन इस्लामी पाठ्य में फिरदौस को एक आदर्श पूर्णता का बाग बताया गया है ।
Pachelbel 's Canon 's guitar is the most popular music video on YouTube .,पाचेलबेल कैनन का गिटार वीडियॊ यूट्यूब पर सबसे लोकप्रिय म्युजिक वीडियो है
"nairee , kristoff , ad place feelings : Mobile communication at world and local,2005",नईऋ क्रीस्टॉफ एड . स्थान की भावना : मोबाइल संचार में वैश्विक और स्थानीय 2005
The epic Mahabharatha starts with the following hymn :,महाभारत ग्रंथ का आरम्भ निम्न श्लोक के साथ होता है :
The intense Devanagari script-100 % pure Hindi tool . Remington based Unicode typing tool .,प्रखर देवनागरी लिपिक - 100 % शुद्ध टंकण हेतु एक नवीन हिन्दी उपकरण ; REMINGTON BASED UNICODE TYPING TOOL
"After the bomb exploded , they started shouting the slogan of Inquilab Zindabad .",बम फटने के बाद उन्होंने इन्कलाब - जिंदाबाद का नारा लगाना चालू कर दिया ।
